Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
A. Cardozo,Lanús,"RCMF, DMF",29,1500000,2027-12-31,15,426,0,0.06,Argentina,Argentina,right,182,79,no
A. Luciatti,Cerro Porteño,LCB,33,1500000,2026-12-31,19,1753,0,1.62,Argentina,Argentina,left,179,80,no
G. Verón,Argentinos Juniors,CF,25,1500000,2028-12-31,9,269,1,0.7,Argentina,Argentina,right,184,82,no
S. Rodríguez,Gimnasia Mendoza,"LW, CF",28,1300000,2026-12-31,33,2465,5,5.21,Argentina,Argentina,left,171,73,yes
F. Díaz,Temperley,RCMF,25,1300000,2027-12-31,21,1729,2,2.31,Argentina,Argentina,right,181,83,no
A. Martínez,Huracán,"LW, LAMF",29,1200000,2026-12-31,16,1418,4,3.75,Argentina,Argentina,left,171,70,yes
J. Acevedo,Instituto,"AMF, RW, CF",29,1200000,2026-12-31,12,1013,3,3.12,Argentina,Argentina,left,172,70,no
L. Díaz,Santos,"RW, RWF, RAMF",28,1200000,2028-06-30,25,1525,2,3.54,Argentina,Argentina,right,181,72,yes
T. Molina,Argentinos Juniors,CF,31,1200000,2029-12-31,27,1582,10,7.66,Argentina,Argentina,right,183,77,no
A. García Basso,Racing Club,"LCB, CB",34,1200000,2026-12-31,35,3357,1,0.99,Argentina,"Argentina, Italy",left,178,78,no
R. Herrera,Newell's Old Boys,"RCMF, DMF",25,1200000,2028-12-31,15,1086,0,0.43,Argentina,Argentina,right,181,76,no
L. Souto,Defensa y Justicia,"LB, RB",27,1200000,2026-12-31,21,1327,0,0.42,Argentina,"Argentina, Italy",right,180,73,no
Dylan Glaby,Coquimbo Unido,"RB, LCMF, DMF",30,1000000,2027-12-31,36,3264,6,3.79,Argentina,Argentina,right,178,78,no
B. Oyola,Bolívar,"LAMF, LW, RW",30,1000000,,29,1649,4,3.01,Argentina,Argentina,left,158,56,no
A. Balboa,Nizhny Novgorod,CF,32,800000,2027-06-30,28,2125,7,6.99,Uruguay,Uruguay,right,186,82,no
R. Insúa,Barracas Central,"LB, LW",28,800000,2026-12-31,21,1695,2,3.57,Argentina,"Argentina, Spain",left,180,76,no
F. Castelli,Mushuc Runa,CF,31,800000,2027-12-31,26,1729,4,5.49,Argentina,Argentina,right,183,78,yes
F. Suárez,Instituto,CF,32,800000,2026-12-31,27,2161,12,9.6,Argentina,Argentina,right,183,72,no
F. Rodríguez,CSKA Sofia,LCB,26,800000,2028-12-31,12,957,0,0.17,Argentina,"Argentina, Italy",left,187,80,yes
J. Freytes,Fluminense,LCB,26,800000,2028-12-31,17,1618,0,0.0,Argentina,Argentina,left,186,81,no
L. Menossi,Unión Santa Fe,"RCMF, LCMF",33,750000,2026-12-31,32,2936,5,4.31,Argentina,Argentina,right,169,70,no
L. Herrera,Newell's Old Boys,"LCMF, CF",30,750000,2028-12-31,2,28,0,0.0,Argentina,Argentina,right,179,76,no
F. Bruera,San Lorenzo,CF,27,750000,2028-12-31,32,2648,16,15.76,Argentina,Argentina,right,194,92,no
