Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
A. Ponce,Academia Puerto Cabello,CF,29,700000,,17,549,3,3.01,Venezuela,"Venezuela, Colombia",right,182,80,no
M. Soulas,Sønderjyske,"LCB, RCB",27,650000,2028-06-30,29,2263,2,1.47,France,France,right,185,76,no
N. Røjkjær,Nordsjælland,"LWF, LW, LCMF",28,600000,2029-06-30,32,2439,12,9.64,Denmark,Denmark,right,179,74,no
R. Vinderslev,Sønderjyske,"DMF, RB, RDMF",28,600000,2027-06-30,30,2425,0,0.38,Denmark,Denmark,right,185,73,no
L. Kjerrumgaard,Watford,CF,23,550000,2030-06-30,25,2120,13,11.8,Denmark,Denmark,left,190,77,no
O. Olsen,Bochum,"RB, RCB",25,550000,2030-06-30,30,2573,2,2.24,Denmark,Denmark,right,190,78,no
M. Agger,Pogoń Szczecin,"RAMF, LAMF, RW",26,550000,2029-06-30,29,1858,6,4.98,Denmark,Denmark,left,181,76,no
E. Olsson,Panetolikos FC,"RDMF, LDMF, LCB",23,550000,2027-06-30,10,93,0,0.56,Sweden,Sweden,left,188,82,no
C. Lange,Vålerenga,"LCMF, LWF, RCMF",27,550000,2027-12-31,29,1810,4,4.75,Denmark,Denmark,right,178,69,no
M. Brajanac,Esbjerg,CF,25,500000,2029-06-30,31,2687,6,5.58,Denmark,"Denmark, Bosnia and Herzegovina",right,189,87,no
F. Carlsen,Ingolstadt,"LCMF, AMF, RCMF",24,500000,2027-06-30,29,2577,10,4.41,Denmark,Denmark,right,193,80,no
F. Christensen,MSV Duisburg,"LB, LW",24,500000,2029-06-30,28,1542,1,0.44,Denmark,Denmark,left,180,66,no
M. Bundgaard Sørensen,Sønderjyske,GK,24,500000,2028-06-30,32,3093,0,0.0,Denmark,Denmark,right,197,81,no
A. Lyng,Sønderjyske,"RW, RAMF, RWF",21,500000,2028-06-30,31,2078,10,5.98,Denmark,Denmark,right,177,70,no
